batter,pressure_adjusted_sr_reliable,pressure_exposure,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,death_specialist_score,high_rrr_specialist_score,collapse_specialist_score,stabilizer_score,accelerator_score,cluster,batter_role
R Ravindra,119.02336896231967,118.5,0.17805907172995783,0.04219409282700422,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
R Sathish,99.81634933961108,366.0,0.0866120218579235,0.06666666666666667,0.0,0.0,0.2586096824761883,0.3757727004471244,0.0,1,Aggressive Accelerator
R Sharma,78.87301797801108,177.70000000000002,0.06190208216094541,0.1586944288126055,0.0,0.0,0.17689954182913203,0.29071362057201083,0.0,1,Aggressive Accelerator
R Shepherd,108.34908920935389,154.3,0.1646143875567077,0.10304601425793908,0.0,0.0,0.3375543982459635,0.3881559305591829,0.0,1,Aggressive Accelerator
R Tewatia,124.11805543484668,1457.1000000000001,0.1630636195182211,0.05456042824788964,0.5626873930646996,0.42343179406894893,0.577512974713322,0.6816083493604495,0.3779867608598272,2,Clutch Finisher
R Vinay Kumar,97.55166239596132,605.2,0.09021810971579643,0.08790482485128882,0.16407531804799258,0.2213765997701559,0.3576547590048054,0.4863439319466465,0.17828136647902137,1,Aggressive Accelerator
RA Jadeja,128.4734134872034,2399.7,0.1490602992040672,0.06375796974621828,0.5673087814597165,0.550811381391184,0.6731423817093208,0.7753430348251644,0.5229440923317497,2,Clutch Finisher
RA Tripathi,112.37128474041891,1022.0,0.14823874755381605,0.08590998043052837,0.0,0.40107066477328135,0.287605410342017,0.3200392386012426,0.38204854787426884,0,Anchor / Stabilizer
RD Chahar,96.02712070459468,212.0,0.1518867924528302,0.1259433962264151,0.0,0.0,0.3011864492231716,0.37508377900460355,0.0,1,Aggressive Accelerator
RD Gaikwad,109.33896637085927,556.2,0.14059690758719884,0.060589715929521754,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
RE Levi,93.99397290307732,33.1,0.14501510574018128,0.09063444108761329,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
RE van der Merwe,98.32863627532194,139.1,0.10855499640546369,0.10783608914450037,0.0,0.0,0.20681682726783945,0.30803852869593884,0.0,1,Aggressive Accelerator
RG Sharma,114.57968031600284,2776.7,0.15482407173983506,0.07292829617891743,0.5494747062563674,0.4677314565038445,0.43474182267516953,0.4656520872016288,0.45064774873575897,2,Clutch Finisher
RJ Harris,92.93969350122131,234.3,0.056764831412718736,0.14041826717883055,0.0,0.0,0.24820136109752633,0.35429144901069737,0.0,1,Aggressive Accelerator
RJ Quiney,80.4678445816876,47.2,0.09957627118644068,0.07203389830508475,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
RK Singh,165.0988624565959,672.0,0.2623511904761905,0.028720238095238097,0.7091201054264588,0.5771726745995824,0.6058951380318469,0.566026627515382,0.5509035599454839,2,Clutch Finisher
RM Patidar,109.30006001153075,239.9,0.13255523134639433,0.07503126302626094,0.0,0.3510494828748023,0.20108644278324234,0.2635163425228545,0.32270802702550444,0,Anchor / Stabilizer
RN ten Doeschate,126.06849799513091,206.5,0.21016949152542372,0.0910411622276029,0.0,0.0,0.3765322296294877,0.39184681765796514,0.0,1,Aggressive Accelerator
RP Singh,78.39534749579973,201.3,0.027819175360158967,0.18231495280675608,0.0,0.0,0.14644723553336172,0.2589601384617611,0.0,1,Aggressive Accelerator
RR Pant,127.54287416058617,1561.8,0.18107312075809964,0.07267255730567294,0.5220206176420894,0.46241576440632703,0.4204846666278493,0.4446726400040713,0.431794297357536,2,Clutch Finisher
RR Rossouw,129.4551429761367,354.7,0.20749929517902452,0.10515928954045674,0.0,0.49981916031403967,0.2865450718549594,0.22974945662934632,0.5152965849982404,0,Anchor / Stabilizer
RR Sarwan,81.07337070833192,43.1,0.05336426914153131,0.048723897911832945,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
RS Bopara,99.70766376795758,171.9,0.09540430482838859,0.10529377545084352,0.0,0.0,0.17949887952301014,0.21545272503367463,0.0,1,Aggressive Accelerator
RT Ponting,66.13958038146576,29.2,0.0,0.13013698630136986,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
RV Patel,98.56655847727977,119.4,0.0745393634840871,0.07872696817420435,0.0,0.0,0.22474107964240925,0.35315173553706336,0.0,1,Aggressive Accelerator
RV Uthappa,111.85517578605837,2150.6,0.14958616200130195,0.07314237887101276,0.4010164715872157,0.4269519106237336,0.3888397063210747,0.4181054275991107,0.40143320896159984,2,Clutch Finisher
Rahmanullah Gurbaz,96.18243947733063,164.0,0.1548780487804878,0.06280487804878049,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
Ramandeep Singh,126.8803732063333,60.8,0.23355263157894737,0.0,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
Rashid Khan,150.5450373345299,857.7,0.24519062609303952,0.10015156814737088,0.5306328939000476,0.5049445777947474,0.588805720408459,0.5816030666696816,0.5050108968079586,2,Clutch Finisher
Ravi Bishnoi,79.85095672134979,179.3,0.05465699944227552,0.09537088678192973,0.0,0.0,0.18168735743351455,0.33388457614181505,0.0,1,Aggressive Accelerator
S Aravind,108.03541368574557,190.8,0.16876310272536688,0.034067085953878404,0.0,0.0,0.3579727528791123,0.4348612515219457,0.0,1,Aggressive Accelerator
S Badrinath,105.4480414560799,586.7,0.14692347025737174,0.08419976137719447,0.0,0.0,0.3184095307859336,0.36328591026393897,0.0,1,Aggressive Accelerator
S Dhawan,101.34318482293841,1598.4,0.14214214214214213,0.05549299299299299,0.32574422131386205,0.12839062202036192,0.26570386731506646,0.3173858424814006,0.11108888655006086,0,Anchor / Stabilizer
S Dube,115.06611945718011,808.7,0.1334240138493879,0.0662792135526153,0.0,0.3762678473157792,0.37441967975400925,0.45287205685669385,0.3521896719131248,0,Anchor / Stabilizer
S Gopal,100.5492041664263,312.40000000000003,0.12387964148527528,0.09058898847631242,0.0,0.0,0.3289145038201653,0.4129265856578335,0.0,1,Aggressive Accelerator
S Nadeem,70.98909649821559,255.70000000000002,0.03519749706687524,0.174423152131404,0.0,0.0,0.15685614554528682,0.2913854502790686,0.0,1,Aggressive Accelerator
S Rana,108.17243808720556,117.3,0.1628303495311168,0.056265984654731455,0.0,0.0,0.3410097204094181,0.3887631972325772,0.0,1,Aggressive Accelerator
S Sohal,70.33082189192122,73.4,0.05313351498637602,0.11989100817438691,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
