batter,bowler,balls,runs,dismissals,boundaries,strike_rate,dismissal_rate,boundary_rate,strike_rate_norm,boundary_rate_norm,dismissal_rate_temp,dismissal_rate_norm,batter_matchup_score,bowler_matchup_score
AB de Villiers,SW Tait,7,1,0,0,14.285714285714285,0.0,0.0,0.027777777777777773,0.0,0.0,1.0,0.2638888888888889,0.7361111111111112
AB de Villiers,Sandeep Sharma,12,14,1,2,116.66666666666667,0.08333333333333333,0.16666666666666666,0.22685185185185183,0.16666666666666666,0.19444444444444445,0.8055555555555556,0.3564814814814815,0.6435185185185185
AB de Villiers,Shakib Al Hasan,20,32,0,3,160.0,0.0,0.15,0.31111111111111106,0.15,0.0,1.0,0.44305555555555554,0.5569444444444445
AB de Villiers,Shivam Sharma,8,17,0,2,212.5,0.0,0.25,0.41319444444444436,0.25,0.0,1.0,0.5190972222222222,0.4809027777777778
AB de Villiers,Shoaib Ahmed,6,4,1,1,66.66666666666666,0.16666666666666666,0.16666666666666666,0.1296296296296296,0.16666666666666666,0.3888888888888889,0.6111111111111112,0.25925925925925924,0.7407407407407407
AB de Villiers,Shoaib Akhtar,9,4,1,0,44.44444444444444,0.1111111111111111,0.0,0.08641975308641973,0.0,0.25925925925925924,0.7407407407407407,0.22839506172839505,0.7716049382716049
AB de Villiers,TA Boult,16,44,0,7,275.0,0.0,0.4375,0.5347222222222221,0.4375,0.0,1.0,0.626736111111111,0.37326388888888895
AB de Villiers,UT Yadav,18,21,1,3,116.66666666666667,0.05555555555555555,0.16666666666666666,0.22685185185185183,0.16666666666666666,0.12962962962962962,0.8703703703703703,0.3726851851851852,0.6273148148148149
AB de Villiers,V Pratap Singh,8,4,0,0,50.0,0.0,0.0,0.09722222222222221,0.0,0.0,1.0,0.2986111111111111,0.7013888888888888
AB de Villiers,Z Khan,11,5,1,0,45.45454545454545,0.09090909090909091,0.0,0.08838383838383837,0.0,0.21212121212121213,0.7878787878787878,0.24116161616161613,0.7588383838383839
AC Blizzard,B Lee,10,23,1,4,229.99999999999997,0.1,0.4,0.4472222222222221,0.4,0.23333333333333336,0.7666666666666666,0.5152777777777777,0.4847222222222223
AC Blizzard,Iqbal Abdulla,7,9,0,2,128.57142857142858,0.0,0.2857142857142857,0.25,0.2857142857142857,0.0,1.0,0.4464285714285714,0.5535714285714286
AC Blizzard,P Kumar,7,12,1,3,171.42857142857142,0.14285714285714285,0.42857142857142855,0.33333333333333326,0.42857142857142855,0.3333333333333333,0.6666666666666667,0.44047619047619047,0.5595238095238095
AC Gilchrist,A Kumble,12,13,1,2,108.33333333333333,0.08333333333333333,0.16666666666666666,0.2106481481481481,0.16666666666666666,0.19444444444444445,0.8055555555555556,0.34837962962962965,0.6516203703703703
AC Gilchrist,A Mishra,25,31,2,3,124.0,0.08,0.12,0.24111111111111108,0.12,0.18666666666666668,0.8133333333333334,0.3538888888888889,0.6461111111111111
AC Gilchrist,A Nehra,39,69,0,13,176.9230769230769,0.0,0.3333333333333333,0.34401709401709396,0.3333333333333333,0.0,1.0,0.5053418803418803,0.4946581196581197
AC Gilchrist,AB Agarkar,14,31,1,7,221.42857142857144,0.07142857142857142,0.5,0.4305555555555555,0.5,0.16666666666666666,0.8333333333333334,0.5486111111111112,0.45138888888888884
AC Gilchrist,AB Dinda,25,28,2,4,112.00000000000001,0.08,0.16,0.21777777777777776,0.16,0.18666666666666668,0.8133333333333334,0.3522222222222222,0.6477777777777778
AC Gilchrist,AD Mathews,19,19,2,2,100.0,0.10526315789473684,0.10526315789473684,0.19444444444444442,0.10526315789473684,0.2456140350877193,0.7543859649122807,0.3121345029239766,0.6878654970760234
AC Gilchrist,AP Dole,7,17,1,3,242.85714285714283,0.14285714285714285,0.42857142857142855,0.4722222222222221,0.42857142857142855,0.3333333333333333,0.6666666666666667,0.5099206349206349,0.4900793650793651
AC Gilchrist,Anand Rajan,7,10,0,2,142.85714285714286,0.0,0.2857142857142857,0.27777777777777773,0.2857142857142857,0.0,1.0,0.4603174603174603,0.5396825396825398
AC Gilchrist,B Kumar,9,18,1,4,200.0,0.1111111111111111,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.25925925925925924,0.7407407407407407,0.4907407407407407,0.5092592592592593
AC Gilchrist,BJ Hodge,10,14,2,2,140.0,0.2,0.2,0.2722222222222222,0.2,0.46666666666666673,0.5333333333333332,0.3194444444444444,0.6805555555555556
AC Gilchrist,BW Hilfenhaus,10,6,0,1,60.0,0.0,0.1,0.11666666666666665,0.1,0.0,1.0,0.3333333333333333,0.6666666666666667
AC Gilchrist,CK Langeveldt,9,12,0,1,133.33333333333331,0.0,0.1111111111111111,0.2592592592592592,0.1111111111111111,0.0,1.0,0.4074074074074074,0.5925925925925926
